Publication,Contact_Email,Editor_Name,Domain_Authority,Subject_Line,Pitch_Angle,Status,Date_Sent,Follow_Up_Date
Business Insider,contributors@businessinsider.com,Editorial Team,91,The $50K/Month Business Owner's Guide to N8N Automation,Revenue-focused automation case study,SENT,2025-08-04,2025-08-09
Entrepreneur Magazine,submissions@entrepreneur.com,Editorial Team,87,How No-Code Automation Created a 7-Figure Business,Success story with specific numbers,SENT,2025-08-04,2025-08-09
Process Street,grace@process.st,Grace,65,The Complete N8N vs Process Street Comparison,Unbiased comparison for their audience,SENT,2025-08-04,2025-08-09
Zapier Blog,content@zapier.com,Content Team,84,Why We Switched from Zapier to N8N (And Doubled Our Automation),Migration case study with performance data,SENT,2025-08-04,2025-08-09
All Tech Magazine,contact@alltechmagazine.com,Editorial Team,50,The Future of No-Code Automation in 2025,Industry trend analysis with course insights,SENT,2025-08-04,2025-08-09
Make.com Blog,content@make.com,Content Team,71,N8N vs Make: The Ultimate Automation Platform Comparison,Head-to-head comparison with real usage data,SENT,2025-08-04,2025-08-09
Automation World,editor@automationworld.com,Editorial Team,68,Small Business Automation Revolution,B2B automation transformation story,SENT,2025-08-04,2025-08-09
TechCrunch,tips@techcrunch.com,Tips Team,95,The Rise of Citizen Developers in Automation,No-code movement analysis,SENT,2025-08-04,2025-08-09
Forbes,contributors@forbes.com,Contributors,94,Why Every Business Needs Automation in 2025,Executive-level automation strategy,SENT,2025-08-04,2025-08-09
Harvard Business Review,hbr@hbr.org,Editorial Team,96,The ROI of Business Process Automation,Academic approach to automation benefits,SENT,2025-08-04,2025-08-09
Inc Magazine,editor@inc.com,Editorial Team,89,From Startup to Scale-Up: Automation Success Stories,Growth-focused automation case studies,SENT,2025-08-04,2025-08-09
Fast Company,pitches@fastcompany.com,Editorial Team,90,The Psychology of Workflow Automation Adoption,Behavioral analysis of automation implementation,SENT,2025-08-04,2025-08-09
Wired,submissions@wired.com,Editorial Team,93,No-Code Automation: The Democratization of Technology,Technical analysis of no-code movement,SENT,2025-08-04,2025-08-09
VentureBeat,tips@venturebeat.com,Tips Team,88,AI-Powered Automation: The Next Business Revolution,AI integration in business automation,SENT,2025-08-04,2025-08-09
ReadWrite,editor@readwrite.com,Editorial Team,72,Building Automation Workflows for Maximum ROI,Practical guide with measurable outcomes,SENT,2025-08-04,2025-08-09
